Model,Accuracy,Precision,Recall,F1 Score,Cross Validation
Logistic Regression,0.8100558659217877,0.7857142857142857,0.7432432432432432,0.7638888888888888,0.7890025735986442
Decision Tree,0.7821229050279329,0.7215189873417721,0.7702702702702703,0.7450980392156863,0.7800577490427468
Random Forest,0.8212290502793296,0.8088235294117647,0.7432432432432432,0.7746478873239436,0.8092461239093591
